Groups:
cpu_address[15..0] =, cpu_address[15], cpu_address[14], cpu_address[13], cpu_address[12], cpu_address[11], cpu_address[10], cpu_address[9], cpu_address[8], cpu_address[7], cpu_address[6], cpu_address[5], cpu_address[4], cpu_address[3], cpu_address[2], cpu_address[1], cpu_address[0],  hex
cpu_data_out[7..0] =, cpu_data_out[7], cpu_data_out[6], cpu_data_out[5], cpu_data_out[4], cpu_data_out[3], cpu_data_out[2], cpu_data_out[1], cpu_data_out[0],  hex

Data:
time unit: us, cpu_address[15..0], cpu_address[15], cpu_address[14], cpu_address[13], cpu_address[12], cpu_address[11], cpu_address[10], cpu_address[9], cpu_address[8], cpu_address[7], cpu_address[6], cpu_address[5], cpu_address[4], cpu_address[3], cpu_address[2], cpu_address[1], cpu_address[0], cpu_data_out[7..0], cpu_data_out[7], cpu_data_out[6], cpu_data_out[5], cpu_data_out[4], cpu_data_out[3], cpu_data_out[2], cpu_data_out[1], cpu_data_out[0], 
0, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, 
24, 0015, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 
48, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 
72, 0267, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 
96, 0017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 
120, 0018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 
144, 0019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 
168, 0266, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 
192, 001A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 
216, 001B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 
