Comment,Designator,Footprint,LCSC,Quantity
10kΩ,"R1,R10,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R11,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R12,R120,R121,R122,R123,R124,R125,R126,R127,R129,R13,R130,R131,R132,R133,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R5,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R6,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R7,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R8,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R9,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99",R_0402,C25744,132
2.2kΩ,"R128,R134,R135,R136,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R160,R161,R162,R163,R164,R165,R166,R167,R168",R_0603,C23179,36
22uF,"C1,C2,C3,C4,C5,C6,C7,C8",C_0805,C45783,8
2N7002,"Q1,Q10,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q11,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q12,Q120,Q121,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q13,Q130,Q131,Q132,Q133,Q134,Q135,Q136,Q137,Q138,Q139,Q14,Q140,Q141,Q142,Q143,Q144,Q145,Q146,Q147,Q148,Q149,Q15,Q150,Q151,Q152,Q153,Q154,Q155,Q156,Q157,Q158,Q159,Q16,Q160,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q17,Q170,Q171,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q19,Q190,Q191,Q192,Q193,Q194,Q195,Q196,Q197,Q198,Q199,Q2,Q20,Q200,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208,Q209,Q21,Q210,Q211,Q212,Q213,Q214,Q215,Q216,Q217,Q218,Q219,Q22,Q220,Q221,Q222,Q223,Q224,Q225,Q226,Q227,Q228,Q229,Q23,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q237,Q238,Q239,Q24,Q240,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249,Q25,Q250,Q251,Q252,Q253,Q254,Q255,Q256,Q257,Q258,Q259,Q26,Q260,Q261,Q262,Q263,Q264,Q265,Q266,Q267,Q268,Q269,Q27,Q270,Q271,Q272,Q273,Q274,Q275,Q276,Q277,Q278,Q279,Q28,Q280,Q281,Q282,Q283,Q284,Q285,Q286,Q287,Q288,Q289,Q29,Q290,Q291,Q292,Q293,Q294,Q295,Q296,Q297,Q298,Q299,Q3,Q30,Q300,Q301,Q302,Q303,Q304,Q305,Q306,Q307,Q308,Q309,Q31,Q310,Q311,Q312,Q313,Q314,Q315,Q316,Q317,Q318,Q319,Q32,Q320,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q4,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q5,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q7,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q8,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q9,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99",SOT-23,C8545,320
Red,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D4,D5,D6,D7,D8,D9",D_0603,C2286,36
Conn_01x08_Socket,J3,Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical,,1
Conn_01x08_Socket,J2,Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical,,1
Conn_01x08_Socket,J1,Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical,,1
Conn_01x14_Pin,J8,JST_EH_B14B-EH-A_1x14_P2.50mm_Vertical,,1
Conn_01x02_Pin,J6,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x02_Pin,J5,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x02_Pin,J4,PinHeader_1x02_P2.54mm_Vertical,,1
