Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Red,D_0603,55.5,-99.3,0.0,top
D10,Red,D_0603,55.5,-67.5,0.0,top
D11,Red,D_0603,55.5,-71.2,0.0,top
D12,Red,D_0603,55.5,-74.9,0.0,top
D13,Red,D_0603,55.5,-78.6,0.0,top
D14,Red,D_0603,55.5,-82.3,0.0,top
D15,Red,D_0603,55.5,-86.0,0.0,top
D16,Red,D_0603,55.5,-89.7,0.0,top
D17,Red,D_0603,55.5,-32.6,0.0,top
D18,Red,D_0603,55.5,-36.3,0.0,top
D19,Red,D_0603,55.5,-40.0,0.0,top
D2,Red,D_0603,55.5,-95.6,0.0,top
D20,Red,D_0603,55.5,-43.7,0.0,top
D21,Red,D_0603,55.5,-47.4,0.0,top
D22,Red,D_0603,55.5,-51.1,0.0,top
D23,Red,D_0603,55.5,-54.8,0.0,top
D24,Red,D_0603,55.5,-58.5,0.0,top
D25,Red,D_0603,134.8,-55.6,0.0,top
D26,Red,D_0603,134.8,-59.3,0.0,top
D27,Red,D_0603,134.8,-31.6,0.0,top
D28,Red,D_0603,134.8,-35.3,0.0,top
D29,Red,D_0603,134.8,-39.0,0.0,top
D3,Red,D_0603,55.5,-103.0,0.0,top
D30,Red,D_0603,134.8,-42.7,0.0,top
D31,Red,D_0603,134.8,-46.4,0.0,top
D32,Red,D_0603,134.8,-50.1,0.0,top
D33,Red,D_0603,134.8,-63.0,0.0,top
D34,Red,D_0603,134.8,-66.7,0.0,top
D35,Red,D_0603,134.8,-70.4,0.0,top
D36,Red,D_0603,140.5,-70.7,0.0,top
D4,Red,D_0603,55.5,-106.7,0.0,top
D5,Red,D_0603,55.5,-110.4,0.0,top
D6,Red,D_0603,55.5,-114.1,0.0,top
D7,Red,D_0603,55.5,-117.8,0.0,top
D8,Red,D_0603,55.5,-121.5,0.0,top
D9,Red,D_0603,55.5,-63.8,0.0,top
J1,Conn_01x08_Socket,Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical,47.9,-44.5,90.0,top
J2,Conn_01x08_Socket,Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical,47.9,-75.9,90.0,top
J3,Conn_01x08_Socket,Hirose_DF13-08P-1.25DSA_1x08_P1.25mm_Vertical,47.9,-107.275,90.0,top
J8,Conn_01x14_Pin,JST_EH_B14B-EH-A_1x14_P2.50mm_Vertical,139.0,-47.85,90.0,top
Q1,2N7002,SOT-23,60.6,-35.1,90.0,top
Q10,2N7002,SOT-23,60.6,-65.1,90.0,top
Q100,2N7002,SOT-23,70.4,-87.1,90.0,top
Q101,2N7002,SOT-23,74.1,-87.1,90.0,top
Q102,2N7002,SOT-23,77.8,-87.1,90.0,top
Q103,2N7002,SOT-23,81.5,-87.1,90.0,top
Q104,2N7002,SOT-23,85.2,-87.1,90.0,top
Q105,2N7002,SOT-23,88.9,-87.1,90.0,top
Q106,2N7002,SOT-23,92.6,-87.1,90.0,top
Q107,2N7002,SOT-23,96.3,-87.1,90.0,top
Q108,2N7002,SOT-23,70.4,-81.9,90.0,top
Q109,2N7002,SOT-23,74.1,-81.9,90.0,top
Q11,2N7002,SOT-23,64.3,-65.1,90.0,top
Q110,2N7002,SOT-23,77.8,-81.9,90.0,top
Q111,2N7002,SOT-23,81.5,-81.9,90.0,top
Q112,2N7002,SOT-23,85.2,-81.9,90.0,top
Q113,2N7002,SOT-23,88.9,-81.9,90.0,top
Q114,2N7002,SOT-23,92.6,-81.9,90.0,top
Q115,2N7002,SOT-23,70.4,-97.1,90.0,top
Q116,2N7002,SOT-23,74.1,-97.1,90.0,top
Q117,2N7002,SOT-23,77.8,-97.1,90.0,top
Q118,2N7002,SOT-23,81.5,-97.1,90.0,top
