Comment,Designator,Footprint,LCSC,Quantity
10kΩ,"R1,R10,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R11,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R12,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R13,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R14,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R15,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R16,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R17,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R18,R180,R181,R182,R183,R184,R185,R186,R187,R188,R189,R19,R190,R191,R192,R193,R194,R195,R196,R197,R198,R199,R2,R200,R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R217,R218,R219,R220,R221,R222,R223,R224,R225,R226,R227,R228,R229,R23,R230,R231,R232,R233,R234,R235,R236,R237,R238,R239,R24,R240,R241,R242,R243,R244,R245,R246,R247,R248,R249,R25,R250,R251,R252,R253,R254,R255,R256,R257,R258,R259,R26,R260,R261,R262,R263,R264,R265,R266,R267,R268,R269,R27,R270,R271,R272,R273,R274,R275,R276,R277,R278,R279,R28,R280,R281,R282,R283,R284,R285,R286,R287,R288,R289,R29,R290,R291,R292,R293,R294,R295,R296,R297,R298,R299,R3,R30,R300,R301,R302,R303,R304,R305,R306,R307,R308,R309,R31,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R32,R320,R321,R322,R323,R324,R325,R326,R327,R328,R329,R33,R330,R331,R332,R333,R334,R335,R336,R337,R338,R339,R34,R340,R341,R342,R343,R344,R345,R346,R347,R348,R349,R35,R350,R351,R352,R353,R354,R355,R356,R357,R358,R359,R36,R360,R361,R362,R363,R364,R365,R366,R367,R368,R369,R37,R370,R371,R372,R373,R374,R375,R376,R377,R378,R379,R38,R39,R4,R40,R41,R42,R424,R425,R426,R427,R428,R429,R43,R430,R431,R432,R433,R434,R435,R436,R437,R438,R439,R44,R440,R441,R442,R443,R444,R445,R446,R447,R448,R449,R45,R450,R451,R452,R453,R454,R455,R456,R457,R458,R459,R46,R460,R461,R462,R463,R464,R465,R466,R467,R468,R469,R47,R470,R471,R472,R473,R474,R475,R476,R477,R478,R479,R48,R480,R481,R482,R483,R484,R485,R486,R487,R488,R489,R49,R490,R491,R492,R493,R494,R495,R496,R497,R498,R499,R5,R50,R500,R501,R502,R503,R504,R505,R506,R507,R508,R509,R51,R510,R511,R512,R513,R514,R515,R516,R517,R518,R519,R52,R520,R521,R522,R523,R524,R525,R526,R527,R528,R53,R54,R55,R553,R554,R555,R556,R56,R57,R58,R59,R6,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R7,R70,R71,R72,R73,R8,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R9,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99",R_0402,C25765,479
2N7002,"Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q35,Q4,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q5,Q50,Q51,Q52,Q53,Q6,Q7,Q8,Q9",SOT-23,C8545,49
Red,"D1,D10,D11,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D9,D95,D96",D_0603,C2286,81
Conn_02x08_Odd_Even,J13,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J14,PinSocket_2x08_P2.54mm_Vertical,,1
2N7002,Q604,SOT-23,C8545,1
R,R411,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R410,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R389,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R388,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
