Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_Disc_D4.7mm_W2.5mm_P5.00mm,134.9,-267.9,-90.0,top
C2,C,C_Disc_D4.7mm_W2.5mm_P5.00mm,127.0,-267.9,90.0,top
D1,Red,D_0603,147.1,-352.3,90.0,top
D10,Red,D_0603,192.1,-352.3,90.0,top
D11,Red,D_0603,197.1,-352.3,90.0,top
D15,Red,D_0603,202.1,-352.3,90.0,top
D16,Red,D_0603,207.1,-352.3,90.0,top
D17,Red,D_0603,212.1,-352.3,90.0,top
D18,Red,D_0603,217.1,-352.3,90.0,top
D19,Red,D_0603,222.1,-352.3,90.0,top
D2,Red,D_0603,152.1,-352.3,90.0,top
D20,Red,D_0603,227.1,-352.3,90.0,top
D21,Red,D_0603,232.1,-352.3,90.0,top
D22,Red,D_0603,237.1,-352.3,90.0,top
D23,Red,D_0603,242.1,-352.3,90.0,top
D24,Red,D_0603,247.1,-352.3,90.0,top
D25,Red,D_0603,252.1,-352.3,90.0,top
D26,Red,D_0603,257.1,-352.3,90.0,top
D27,Red,D_0603,262.1,-352.3,90.0,top
D28,Red,D_0603,269.0,-382.4,-90.0,top
D29,Red,D_0603,269.0,-377.4,-90.0,top
D3,Red,D_0603,157.1,-352.3,90.0,top
D30,Red,D_0603,269.0,-372.4,-90.0,top
D31,Red,D_0603,269.0,-367.4,-90.0,top
D32,Red,D_0603,269.0,-361.4,-90.0,top
D33,Red,D_0603,269.0,-356.4,-90.0,top
D34,Red,D_0603,269.0,-351.4,-90.0,top
D35,Red,D_0603,269.0,-346.4,-90.0,top
D36,Red,D_0603,269.0,-340.4,-90.0,top
D37,Red,D_0603,269.0,-335.4,-90.0,top
D38,Red,D_0603,269.0,-330.4,-90.0,top
D39,Red,D_0603,269.0,-325.4,-90.0,top
D4,Red,D_0603,162.1,-352.3,90.0,top
D40,Red,D_0603,132.2,-260.3,90.0,top
D41,Red,D_0603,202.775,-285.65,90.0,top
D42,Red,D_0603,204.176,-242.3115,-90.0,top
D43,Red,D_0603,131.1625,-339.775,-90.0,top
D44,Red,D_0603,157.2625,-325.075,90.0,top
D45,Red,D_0603,127.9625,-329.275,-90.0,top
D46,Red,D_0603,126.276,-242.2115,-90.0,top
D47,Red,D_0603,166.1625,-339.375,180.0,top
D48,Red,D_0603,148.1625,-339.375,180.0,top
D49,Red,D_0603,128.9,-390.1,180.0,top
D5,Red,D_0603,167.1,-352.3,90.0,top
D50,Red,D_0603,128.9,-385.7,180.0,top
D51,Red,D_0603,128.9,-381.3,180.0,top
D52,Red,D_0603,128.9,-376.9,180.0,top
D53,Red,D_0603,128.9,-372.5,180.0,top
D54,Red,D_0603,128.9,-368.1,180.0,top
D55,Red,D_0603,128.9,-363.7,180.0,top
D56,Red,D_0603,128.9,-359.3,180.0,top
D57,Red,D_0603,119.4,-359.3,180.0,top
D58,Red,D_0603,119.4,-363.7,180.0,top
D59,Red,D_0603,119.4,-368.1,180.0,top
D6,Red,D_0603,172.1,-352.3,90.0,top
