Comment,Designator,Footprint,LCSC,Quantity
10kΩ,"R1,R10,R11,R12,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R13,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R14,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R15,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R16,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R17,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R18,R180,R181,R182,R183,R184,R185,R186,R187,R188,R189,R19,R190,R191,R192,R193,R194,R195,R196,R197,R198,R199,R2,R200,R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R217,R218,R219,R220,R221,R222,R223,R224,R225,R226,R227,R228,R229,R23,R230,R231,R232,R233,R234,R235,R236,R237,R238,R239,R24,R240,R241,R242,R243,R244,R245,R246,R247,R248,R249,R25,R250,R251,R252,R253,R254,R255,R256,R257,R258,R259,R26,R260,R261,R262,R263,R264,R265,R266,R267,R268,R269,R27,R270,R271,R272,R273,R274,R275,R276,R277,R278,R279,R28,R280,R281,R282,R283,R284,R285,R286,R287,R288,R289,R29,R290,R291,R292,R293,R294,R295,R296,R297,R298,R299,R3,R30,R300,R301,R302,R303,R304,R305,R306,R307,R308,R309,R31,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R32,R320,R321,R322,R323,R324,R325,R326,R327,R328,R329,R33,R330,R331,R332,R333,R334,R335,R336,R337,R338,R339,R34,R340,R341,R342,R343,R344,R345,R346,R347,R348,R349,R35,R350,R351,R352,R353,R354,R355,R356,R357,R358,R359,R36,R360,R361,R362,R363,R364,R365,R366,R367,R368,R369,R37,R370,R371,R372,R373,R374,R375,R376,R377,R378,R379,R38,R39,R4,R40,R41,R42,R424,R425,R426,R427,R428,R429,R43,R430,R431,R432,R433,R434,R435,R436,R437,R438,R439,R44,R440,R441,R442,R443,R444,R445,R446,R447,R448,R449,R45,R450,R451,R452,R453,R454,R455,R456,R457,R458,R459,R46,R460,R461,R462,R463,R464,R465,R466,R467,R468,R469,R47,R470,R471,R472,R473,R474,R475,R476,R477,R478,R479,R48,R480,R481,R482,R483,R484,R485,R486,R487,R488,R489,R49,R490,R491,R492",R_0402,C25765,390
10kΩ,"R493,R494,R495,R496,R497,R498,R499,R5,R50,R500,R501,R502,R503,R504,R505,R506,R507,R508,R509,R51,R510,R511,R512,R513,R514,R515,R516,R517,R518,R519,R52,R520,R521,R522,R523,R524,R525,R526,R527,R528,R53,R54,R55,R553,R554,R555,R556,R56,R57,R58,R59,R6,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R7,R70,R71,R72,R73,R8,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R9,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99",R_0402,C25765,89
2N7002,"Q1,Q10,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q11,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q12,Q120,Q121,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q13,Q130,Q131,Q132,Q133,Q134,Q136,Q137,Q138,Q139,Q14,Q140,Q141,Q142,Q143,Q144,Q145,Q146,Q147,Q148,Q149,Q15,Q150,Q151,Q152,Q153,Q154,Q155,Q156,Q157,Q158,Q159,Q16,Q160,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q17,Q170,Q171,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q19,Q190,Q191,Q192,Q193,Q194,Q195,Q196,Q197,Q198,Q199,Q2,Q20,Q200,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208,Q209,Q21,Q210,Q211,Q212,Q213,Q214,Q215,Q216,Q217,Q218,Q219,Q22,Q220,Q221,Q222,Q223,Q224,Q225,Q226,Q227,Q228,Q229,Q23,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q237,Q238,Q239,Q24,Q240,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249,Q25,Q250,Q251,Q252,Q253,Q254,Q255,Q256,Q257,Q258,Q259,Q26,Q260,Q261,Q262,Q263,Q264,Q265,Q266,Q267,Q268,Q269,Q27,Q270,Q271,Q272,Q273,Q274,Q275,Q276,Q277,Q278,Q279,Q28,Q280,Q281,Q282,Q283,Q284,Q285,Q286,Q287,Q288,Q289,Q29,Q290,Q291,Q292,Q293,Q294,Q295,Q296,Q297,Q298,Q299,Q3,Q30,Q300,Q301,Q302,Q303,Q304,Q305,Q306,Q307,Q308,Q309,Q31,Q310,Q311,Q312,Q313,Q314,Q315,Q316,Q317,Q318,Q319,Q32,Q320,Q321,Q322,Q323,Q324,Q325,Q326,Q327,Q328,Q329,Q33,Q330,Q331,Q332,Q333,Q334,Q335,Q336,Q337,Q338,Q339,Q34,Q340,Q341,Q342,Q343,Q344,Q345,Q346,Q347,Q348,Q349,Q35,Q350,Q351,Q352,Q353,Q354,Q355,Q356,Q357,Q358,Q359,Q360,Q361,Q362,Q363,Q364,Q365,Q366,Q367,Q368,Q369,Q370,Q371,Q372,Q373,Q374,Q375,Q376,Q377,Q378,Q379,Q380,Q381,Q382,Q383,Q384,Q385,Q386,Q387,Q388,Q389,Q390,Q391,Q392,Q393,Q394,Q395,Q396,Q397,Q398,Q399,Q4,Q40,Q400,Q401,Q402,Q403,Q404,Q405,Q406,Q407,Q408,Q409,Q41,Q410,Q411,Q412,Q413,Q414,Q415,Q416,Q417,Q418,Q419,Q42,Q420,Q421,Q422,Q423,Q424,Q425,Q426,Q427,Q428,Q429,Q43,Q430,Q431,Q432,Q433,Q434,Q435,Q436,Q437,Q438,Q439,Q44,Q440,Q441,Q442,Q443,Q444,Q445,Q446,Q447,Q448,Q449,Q45,Q450,Q451,Q452,Q453,Q454,Q455,Q456",SOT-23,C8545,392
2N7002,"Q457,Q458,Q459,Q46,Q460,Q461,Q462,Q463,Q464,Q465,Q466,Q467,Q468,Q469,Q47,Q470,Q471,Q472,Q473,Q474,Q475,Q476,Q477,Q478,Q479,Q48,Q480,Q481,Q482,Q483,Q484,Q485,Q486,Q487,Q488,Q489,Q49,Q490,Q491,Q492,Q493,Q494,Q495,Q496,Q497,Q498,Q499,Q5,Q50,Q500,Q501,Q502,Q503,Q504,Q505,Q506,Q507,Q508,Q509,Q51,Q510,Q511,Q512,Q513,Q514,Q515,Q516,Q517,Q518,Q519,Q52,Q520,Q521,Q522,Q523,Q524,Q525,Q526,Q527,Q528,Q529,Q53,Q530,Q531,Q532,Q533,Q534,Q535,Q536,Q537,Q538,Q539,Q54,Q540,Q541,Q542,Q543,Q544,Q545,Q546,Q547,Q548,Q549,Q55,Q550,Q551,Q552,Q553,Q554,Q555,Q556,Q557,Q558,Q559,Q56,Q560,Q561,Q562,Q563,Q564,Q565,Q566,Q567,Q568,Q569,Q57,Q570,Q571,Q572,Q573,Q574,Q575,Q576,Q577,Q578,Q579,Q58,Q580,Q581,Q582,Q583,Q584,Q585,Q586,Q587,Q588,Q589,Q59,Q590,Q591,Q592,Q593,Q594,Q595,Q596,Q597,Q598,Q599,Q6,Q60,Q600,Q601,Q602,Q603,Q604,Q605,Q606,Q607,Q608,Q609,Q61,Q610,Q611,Q612,Q613,Q614,Q615,Q616,Q617,Q618,Q619,Q62,Q620,Q621,Q622,Q623,Q624,Q625,Q626,Q627,Q628,Q629,Q63,Q630,Q631,Q632,Q64,Q645,Q646,Q65,Q66,Q67,Q68,Q69,Q7,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q8,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q9,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99",SOT-23,C8545,237
Red,"D1,D10,D11,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D9,D95,D96",D_0603,C2286,81
Conn_02x08_Odd_Even,J13,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J14,PinSocket_2x08_P2.54mm_Vertical,,1
R,R411,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R410,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R389,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R388,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R77,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R76,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R74,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
R,R20,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
Conn_01x21_Socket,J6,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x01_Pin,J9,PinSocket_1x01_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J12,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x01_Pin,J7,PinSocket_1x01_P2.54mm_Vertical,,1
Conn_01x21_Socket,J5,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J11,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x21_Socket,J4,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J10,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x21_Socket,J1,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x21_Socket,J3,PinHeader_1x21_P2.54mm_Vertical,,1
C,C2,C_Disc_D4.7mm_W2.5mm_P5.00mm,,1
Conn_01x21_Socket,J2,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x01_Pin,J8,PinSocket_1x01_P2.54mm_Vertical,,1
C,C1,C_Disc_D4.7mm_W2.5mm_P5.00mm,,1
