Comment,Designator,Footprint,LCSC,Quantity
10kΩ,"R1,R2,R22,R24,R3,R4,R5,R6,R7,R8",R_1206,C17902,10
22uF,"C1,C2,C3,C4,C5,C6,C7,C8",C_0805,C45783,8
2N7002,"Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q4,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q5,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q7,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q8,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q9",SOT-23,C8545,87
3.3kΩ,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R23,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R9",R_0402,C25890,64
Red,"D1,D2,D3",D_0603,C2286,3
Conn_02x05_Odd_Even,J3,PinSocket_2x05_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J8,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J1,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x02_Pin,J7,PinSocket_1x02_P2.54mm_Vertical,,1
Conn_01x02_Pin,J6,PinSocket_1x02_P2.54mm_Vertical,,1
Conn_01x02_Pin,J5,PinSocket_1x02_P2.54mm_Vertical,,1
Conn_02x03_Odd_Even,J4,PinSocket_2x03_P2.54mm_Vertical,,1
Conn_02x20_Odd_Even,J2,PinSocket_2x20_P2.54mm_Vertical,,1
