Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805,103.1,-92.1,0.0,top
C2,22uF,C_0805,103.1,-95.15,0.0,top
C3,22uF,C_0805,103.1,-98.2,0.0,top
C4,22uF,C_0805,103.1,-101.25,0.0,top
C5,22uF,C_0805,179.3,-60.3,0.0,top
C6,22uF,C_0805,179.3,-63.35,0.0,top
C7,22uF,C_0805,179.3,-66.4,0.0,top
C8,22uF,C_0805,179.3,-69.45,0.0,top
D1,Red,D_0603,180.4,-43.4,-90.0,top
D2,Red,D_0603,155.1,-109.7,180.0,top
D3,Red,D_0603,166.6,-109.7,180.0,top
J1,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,121.29,-41.33,90.0,top
J2,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical,133.53,-97.33,90.0,top
J3,Conn_02x05_Odd_Even,PinSocket_2x05_P2.54mm_Vertical,166.48,-97.33,90.0,top
J4,Conn_02x03_Odd_Even,PinSocket_2x03_P2.54mm_Vertical,180.67,-81.0,180.0,top
J5,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,174.7205,-51.5505,90.0,top
J6,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,102.975,-40.88,180.0,top
J7,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,169.08,-73.125,-90.0,top
J8,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,155.39,-41.33,90.0,top
Q1,2N7002,SOT-23,166.21,-48.1,90.0,top
Q10,2N7002,SOT-23,161.01,-48.1,90.0,top
Q11,2N7002,SOT-23,107.9,-55.3,0.0,top
Q12,2N7002,SOT-23,108.0,-68.3,0.0,top
Q13,2N7002,SOT-23,161.01,-53.1,90.0,top
Q14,2N7002,SOT-23,108.0,-59.3,180.0,top
Q15,2N7002,SOT-23,108.0,-63.3,180.0,top
Q16,2N7002,SOT-23,108.0,-72.3,180.0,top
Q17,2N7002,SOT-23,108.0,-76.3,180.0,top
Q18,2N7002,SOT-23,112.5,-55.3,0.0,top
Q19,2N7002,SOT-23,112.5,-68.3,0.0,top
Q2,2N7002,SOT-23,103.9,-48.1,0.0,top
Q20,2N7002,SOT-23,156.3,-49.4,90.0,top
Q21,2N7002,SOT-23,112.5,-59.3,180.0,top
Q22,2N7002,SOT-23,112.5,-63.3,180.0,top
Q23,2N7002,SOT-23,112.5,-72.3,180.0,top
Q24,2N7002,SOT-23,112.5,-76.3,180.0,top
Q25,2N7002,SOT-23,156.3,-53.5,90.0,top
Q26,2N7002,SOT-23,116.9,-55.3,0.0,top
Q27,2N7002,SOT-23,117.0,-68.3,0.0,top
Q28,2N7002,SOT-23,117.0,-59.3,180.0,top
Q29,2N7002,SOT-23,117.0,-63.3,180.0,top
Q3,2N7002,SOT-23,166.21,-53.1,90.0,top
Q30,2N7002,SOT-23,117.0,-72.3,180.0,top
Q31,2N7002,SOT-23,117.0,-76.3,180.0,top
Q32,2N7002,SOT-23,121.5,-55.3,0.0,top
Q33,2N7002,SOT-23,121.6,-68.3,0.0,top
Q34,2N7002,SOT-23,121.5,-59.3,180.0,top
Q35,2N7002,SOT-23,121.5,-63.3,180.0,top
Q36,2N7002,SOT-23,121.5,-72.3,180.0,top
Q37,2N7002,SOT-23,121.5,-76.3,180.0,top
Q38,2N7002,SOT-23,125.9,-55.3,0.0,top
Q39,2N7002,SOT-23,126.0,-68.3,0.0,top
Q4,2N7002,SOT-23,103.5,-55.3,0.0,top
Q40,2N7002,SOT-23,126.0,-59.3,180.0,top
Q41,2N7002,SOT-23,126.0,-63.3,180.0,top
Q42,2N7002,SOT-23,126.0,-72.3,180.0,top
Q43,2N7002,SOT-23,126.0,-76.3,180.0,top
Q44,2N7002,SOT-23,130.5,-55.3,0.0,top
Q45,2N7002,SOT-23,130.5,-68.3,0.0,top
Q46,2N7002,SOT-23,130.5,-59.3,180.0,top
Q47,2N7002,SOT-23,130.5,-63.3,180.0,top
Q48,2N7002,SOT-23,130.5,-72.3,180.0,top
Q49,2N7002,SOT-23,130.5,-76.3,180.0,top
Q5,2N7002,SOT-23,103.5,-68.3,0.0,top
Q50,2N7002,SOT-23,135.0,-55.3,0.0,top
Q51,2N7002,SOT-23,135.0,-68.3,0.0,top
Q52,2N7002,SOT-23,135.0,-59.3,180.0,top
Q53,2N7002,SOT-23,135.0,-63.3,180.0,top
Q54,2N7002,SOT-23,135.0,-72.3,180.0,top
Q55,2N7002,SOT-23,135.0,-76.3,180.0,top
Q56,2N7002,SOT-23,174.3,-79.7,90.0,top
Q57,2N7002,SOT-23,174.3,-84.5,90.0,top
Q58,2N7002,SOT-23,146.3,-60.7,90.0,top
Q59,2N7002,SOT-23,146.3,-65.5,90.0,top
Q6,2N7002,SOT-23,103.5,-59.3,180.0,top
Q60,2N7002,SOT-23,170.3,-79.7,90.0,top
Q61,2N7002,SOT-23,170.3,-84.5,90.0,top
Q62,2N7002,SOT-23,150.3,-60.7,90.0,top
Q63,2N7002,SOT-23,150.3,-65.5,90.0,top
Q64,2N7002,SOT-23,166.3,-79.7,90.0,top
Q65,2N7002,SOT-23,166.3,-84.5,90.0,top
Q66,2N7002,SOT-23,154.3,-60.7,90.0,top
Q67,2N7002,SOT-23,154.3,-65.5,90.0,top
Q68,2N7002,SOT-23,162.3,-79.7,90.0,top
Q69,2N7002,SOT-23,162.3,-84.5,90.0,top
Q7,2N7002,SOT-23,103.5,-63.3,180.0,top
Q70,2N7002,SOT-23,158.3,-60.7,90.0,top
Q71,2N7002,SOT-23,158.3,-65.5,90.0,top
Q72,2N7002,SOT-23,158.3,-79.7,90.0,top
Q73,2N7002,SOT-23,158.3,-84.5,90.0,top
Q74,2N7002,SOT-23,162.3,-60.7,90.0,top
Q75,2N7002,SOT-23,162.3,-65.5,90.0,top
Q76,2N7002,SOT-23,154.3,-79.7,90.0,top
Q77,2N7002,SOT-23,154.3,-84.5,90.0,top
Q78,2N7002,SOT-23,166.3,-60.7,90.0,top
Q79,2N7002,SOT-23,166.3,-65.5,90.0,top
Q8,2N7002,SOT-23,103.5,-72.3,180.0,top
Q80,2N7002,SOT-23,150.3,-79.7,90.0,top
Q81,2N7002,SOT-23,150.3,-84.5,90.0,top
Q82,2N7002,SOT-23,170.3,-60.7,90.0,top
Q83,2N7002,SOT-23,170.3,-65.5,90.0,top
Q84,2N7002,SOT-23,146.3,-79.7,90.0,top
Q85,2N7002,SOT-23,146.3,-84.5,90.0,top
Q86,2N7002,SOT-23,174.3,-60.7,90.0,top
Q87,2N7002,SOT-23,174.3,-65.5,90.0,top
Q9,2N7002,SOT-23,103.5,-76.3,180.0,top
R1,10kΩ,R_1206,111.9,-104.1,90.0,top
R10,3.3kΩ,R_0402,103.9,-45.6,0.0,top
R11,3.3kΩ,R_0402,147.5,-90.9,-90.0,top
R12,3.3kΩ,R_0402,103.5,-52.6,180.0,top
R13,3.3kΩ,R_0402,103.5,-79.0,0.0,top
R14,3.3kΩ,R_0402,112.5,-112.4,90.0,top
R15,3.3kΩ,R_0402,163.7,-46.9,90.0,top
R16,3.3kΩ,R_0402,107.9,-52.5,180.0,top
R17,3.3kΩ,R_0402,108.0,-79.0,0.0,top
R18,3.3kΩ,R_0402,163.7,-49.7,-90.0,top
R19,3.3kΩ,R_0402,112.5,-82.4,-90.0,top
R2,10kΩ,R_1206,112.0,-90.6,90.0,top
R20,3.3kΩ,R_0402,112.5,-52.6,180.0,top
R21,3.3kΩ,R_0402,112.5,-79.0,0.0,top
R22,10kΩ,R_1206,147.5,-50.3,0.0,top
R23,3.3kΩ,R_0402,115.1,-112.4,90.0,top
R24,10kΩ,R_1206,147.5,-53.2,0.0,top
R25,3.3kΩ,R_0402,116.9,-52.6,180.0,top
R26,3.3kΩ,R_0402,117.0,-79.0,0.0,top
R27,3.3kΩ,R_0402,180.4,-46.4,90.0,top
R28,3.3kΩ,R_0402,115.1,-82.4,-90.0,top
R29,3.3kΩ,R_0402,121.5,-52.6,180.0,top
R3,10kΩ,R_1206,114.5,-104.1,90.0,top
R30,3.3kΩ,R_0402,121.5,-79.0,0.0,top
R31,3.3kΩ,R_0402,117.6,-112.4,90.0,top
R32,3.3kΩ,R_0402,125.9,-52.6,180.0,top
R33,3.3kΩ,R_0402,126.0,-79.0,0.0,top
R34,3.3kΩ,R_0402,117.6,-82.4,-90.0,top
R35,3.3kΩ,R_0402,130.5,-52.6,180.0,top
R36,3.3kΩ,R_0402,130.5,-79.0,0.0,top
R37,3.3kΩ,R_0402,120.2,-112.4,90.0,top
R38,3.3kΩ,R_0402,135.0,-52.6,180.0,top
R39,3.3kΩ,R_0402,135.0,-79.0,0.0,top
R4,10kΩ,R_1206,114.5,-90.6,90.0,top
R40,3.3kΩ,R_0402,120.2,-82.4,-90.0,top
R41,3.3kΩ,R_0402,174.3,-76.5,-90.0,top
R42,3.3kΩ,R_0402,124.6,-103.3,90.0,top
R43,3.3kΩ,R_0402,146.1,-57.5,-90.0,top
R44,3.3kΩ,R_0402,124.6,-91.5,-90.0,top
R45,3.3kΩ,R_0402,170.1,-76.5,-90.0,top
R46,3.3kΩ,R_0402,127.2,-103.3,90.0,top
R47,3.3kΩ,R_0402,150.1,-57.5,-90.0,top
R48,3.3kΩ,R_0402,127.2,-91.5,-90.0,top
R49,3.3kΩ,R_0402,166.1,-76.5,-90.0,top
R5,10kΩ,R_1206,117.1,-104.1,90.0,top
R50,3.3kΩ,R_0402,129.7,-103.3,90.0,top
R51,3.3kΩ,R_0402,154.1,-57.5,-90.0,top
R52,3.3kΩ,R_0402,162.1,-76.5,-90.0,top
R53,3.3kΩ,R_0402,129.7,-91.5,-90.0,top
R54,3.3kΩ,R_0402,132.3,-103.3,90.0,top
R55,3.3kΩ,R_0402,158.1,-57.5,-90.0,top
R56,3.3kΩ,R_0402,132.3,-91.5,-90.0,top
R57,3.3kΩ,R_0402,158.1,-76.5,-90.0,top
R58,3.3kΩ,R_0402,134.8,-103.3,90.0,top
R59,3.3kΩ,R_0402,162.1,-57.5,-90.0,top
R6,10kΩ,R_1206,117.0,-90.6,90.0,top
R60,3.3kΩ,R_0402,134.8,-91.5,-90.0,top
R61,3.3kΩ,R_0402,154.1,-76.5,-90.0,top
R62,3.3kΩ,R_0402,137.3,-103.3,90.0,top
R63,3.3kΩ,R_0402,166.1,-57.5,-90.0,top
R64,3.3kΩ,R_0402,137.3,-91.5,-90.0,top
R65,3.3kΩ,R_0402,150.1,-76.5,-90.0,top
R66,3.3kΩ,R_0402,139.9,-103.3,90.0,top
R67,3.3kΩ,R_0402,170.1,-57.5,-90.0,top
R68,3.3kΩ,R_0402,139.9,-91.5,-90.0,top
R69,3.3kΩ,R_0402,146.1,-76.5,-90.0,top
R7,10kΩ,R_1206,119.6,-104.1,90.0,top
R70,3.3kΩ,R_0402,142.4,-103.3,90.0,top
R71,3.3kΩ,R_0402,174.1,-57.5,-90.0,top
R72,3.3kΩ,R_0402,142.4,-91.5,-90.0,top
R73,3.3kΩ,R_0402,151.9,-109.7,0.0,top
R74,3.3kΩ,R_0402,163.5,-109.7,0.0,top
R8,10kΩ,R_1206,119.6,-90.6,90.0,top
R9,3.3kΩ,R_0402,163.71,-52.5,-90.0,top
