Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805,118.7,-131.0,90.0,top
D1,Red,D_0603,53.1,-105.9,90.0,top
D2,Red,D_0603,61.9,-105.9,90.0,top
D3,Red,D_0603,70.7,-105.9,90.0,top
D4,Red,D_0603,79.5,-105.9,90.0,top
D5,Red,D_0603,88.3,-105.9,90.0,top
D6,Red,D_0603,97.1,-105.9,90.0,top
D7,Red,D_0603,105.9,-105.9,90.0,top
D8,Red,D_0603,114.7,-105.9,90.0,top
D9,Red,D_0603,116.5,-130.7,90.0,top
J2,Conn_01x21_Pin,PinHeader_1x21_P2.54mm_Horizontal,84.9,-131.7,-90.0,top
Q1,2N7002,SOT-23,51.9,-130.6,180.0,top
Q10,2N7002,SOT-23,56.3,-113.9,180.0,top
Q11,2N7002,SOT-23,56.3,-117.8,180.0,top
Q12,2N7002,SOT-23,60.7,-121.7,180.0,top
Q13,2N7002,SOT-23,65.1,-121.7,180.0,top
Q14,2N7002,SOT-23,60.7,-113.9,180.0,top
Q15,2N7002,SOT-23,60.7,-117.8,180.0,top
Q16,2N7002,SOT-23,60.7,-126.6,180.0,top
Q17,2N7002,SOT-23,60.7,-110.0,180.0,top
Q18,2N7002,SOT-23,65.1,-126.6,180.0,top
Q19,2N7002,SOT-23,65.1,-110.0,180.0,top
Q2,2N7002,SOT-23,51.9,-121.7,180.0,top
Q20,2N7002,SOT-23,65.1,-113.9,180.0,top
Q21,2N7002,SOT-23,65.1,-117.8,180.0,top
Q22,2N7002,SOT-23,69.5,-121.7,180.0,top
Q23,2N7002,SOT-23,73.9,-121.7,180.0,top
Q24,2N7002,SOT-23,69.5,-113.9,180.0,top
Q25,2N7002,SOT-23,69.5,-117.8,180.0,top
Q26,2N7002,SOT-23,69.5,-126.6,180.0,top
Q27,2N7002,SOT-23,69.5,-110.0,180.0,top
Q28,2N7002,SOT-23,73.9,-126.6,180.0,top
Q29,2N7002,SOT-23,73.9,-110.0,180.0,top
Q3,2N7002,SOT-23,56.3,-121.7,180.0,top
Q30,2N7002,SOT-23,73.9,-113.9,180.0,top
Q31,2N7002,SOT-23,73.9,-117.8,180.0,top
Q32,2N7002,SOT-23,78.3,-121.7,180.0,top
Q33,2N7002,SOT-23,82.7,-121.7,180.0,top
Q34,2N7002,SOT-23,78.3,-113.9,180.0,top
Q35,2N7002,SOT-23,78.3,-117.8,180.0,top
Q36,2N7002,SOT-23,78.3,-126.6,180.0,top
Q37,2N7002,SOT-23,78.3,-110.0,180.0,top
