Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805,113.6,-159.9,0.0,top
D1,Red,D_0603,51.9,-132.2,180.0,top
D2,Red,D_0603,60.9,-132.2,180.0,top
D3,Red,D_0603,69.9,-132.2,180.0,top
D4,Red,D_0603,78.9,-132.2,180.0,top
D5,Red,D_0603,87.9,-132.2,180.0,top
D6,Red,D_0603,96.9,-132.2,180.0,top
D7,Red,D_0603,105.9,-132.2,180.0,top
D8,Red,D_0603,114.9,-132.2,180.0,top
D9,Red,D_0603,118.8,-159.8,180.0,top
J1,Conn_01x20_Pin,PinHeader_1x20_P2.54mm_Horizontal,85.595,-161.625,-90.0,top
Q1,2N7002,SOT-23,51.9,-160.5,180.0,top
Q10,2N7002,SOT-23,51.9,-146.3,180.0,top
Q11,2N7002,SOT-23,56.3,-146.3,180.0,top
Q12,2N7002,SOT-23,60.9,-156.1,180.0,top
Q13,2N7002,SOT-23,60.9,-151.7,180.0,top
Q14,2N7002,SOT-23,65.3,-156.1,180.0,top
Q15,2N7002,SOT-23,65.3,-151.7,180.0,top
Q16,2N7002,SOT-23,60.9,-137.5,180.0,top
Q17,2N7002,SOT-23,60.9,-141.9,180.0,top
Q18,2N7002,SOT-23,65.3,-137.5,180.0,top
Q19,2N7002,SOT-23,65.3,-141.9,180.0,top
Q2,2N7002,SOT-23,51.9,-156.1,180.0,top
Q20,2N7002,SOT-23,60.9,-146.3,180.0,top
Q21,2N7002,SOT-23,65.3,-146.3,180.0,top
Q22,2N7002,SOT-23,69.9,-156.1,180.0,top
Q23,2N7002,SOT-23,69.9,-151.7,180.0,top
Q24,2N7002,SOT-23,74.3,-156.1,180.0,top
Q25,2N7002,SOT-23,74.3,-151.7,180.0,top
Q26,2N7002,SOT-23,69.9,-137.5,180.0,top
Q27,2N7002,SOT-23,69.9,-141.9,180.0,top
Q28,2N7002,SOT-23,74.3,-137.5,180.0,top
Q29,2N7002,SOT-23,74.3,-141.9,180.0,top
Q3,2N7002,SOT-23,51.9,-151.7,180.0,top
Q30,2N7002,SOT-23,69.9,-146.3,180.0,top
Q31,2N7002,SOT-23,74.3,-146.3,180.0,top
Q32,2N7002,SOT-23,78.9,-156.1,180.0,top
Q33,2N7002,SOT-23,78.9,-151.7,180.0,top
Q34,2N7002,SOT-23,83.3,-156.1,180.0,top
Q35,2N7002,SOT-23,83.3,-151.7,180.0,top
Q36,2N7002,SOT-23,78.9,-137.5,180.0,top
Q37,2N7002,SOT-23,78.9,-141.9,180.0,top
Q38,2N7002,SOT-23,83.3,-137.5,180.0,top
Q39,2N7002,SOT-23,83.3,-141.9,180.0,top
Q4,2N7002,SOT-23,56.3,-156.1,180.0,top
Q40,2N7002,SOT-23,78.9,-146.3,180.0,top
Q41,2N7002,SOT-23,83.3,-146.3,180.0,top
Q42,2N7002,SOT-23,87.9,-156.1,180.0,top
Q43,2N7002,SOT-23,87.9,-151.7,180.0,top
Q44,2N7002,SOT-23,92.3,-156.1,180.0,top
Q45,2N7002,SOT-23,92.3,-151.7,180.0,top
Q46,2N7002,SOT-23,87.9,-137.5,180.0,top
Q47,2N7002,SOT-23,87.9,-141.9,180.0,top
Q48,2N7002,SOT-23,92.3,-137.5,180.0,top
Q49,2N7002,SOT-23,92.3,-141.9,180.0,top
Q5,2N7002,SOT-23,56.3,-151.7,180.0,top
Q50,2N7002,SOT-23,87.9,-146.3,180.0,top
Q51,2N7002,SOT-23,92.3,-146.3,180.0,top
Q52,2N7002,SOT-23,96.9,-156.1,180.0,top
Q53,2N7002,SOT-23,96.9,-151.7,180.0,top
Q54,2N7002,SOT-23,101.3,-156.1,180.0,top
Q55,2N7002,SOT-23,101.3,-151.7,180.0,top
Q56,2N7002,SOT-23,96.9,-137.5,180.0,top
Q57,2N7002,SOT-23,96.9,-141.9,180.0,top
Q58,2N7002,SOT-23,101.3,-137.5,180.0,top
Q59,2N7002,SOT-23,101.3,-141.9,180.0,top
Q6,2N7002,SOT-23,51.9,-141.9,180.0,top
Q60,2N7002,SOT-23,96.9,-146.3,180.0,top
Q61,2N7002,SOT-23,101.3,-146.3,180.0,top
Q62,2N7002,SOT-23,105.9,-156.1,180.0,top
Q63,2N7002,SOT-23,105.9,-151.7,180.0,top
Q64,2N7002,SOT-23,110.3,-156.1,180.0,top
Q65,2N7002,SOT-23,110.3,-151.7,180.0,top
Q66,2N7002,SOT-23,105.9,-137.5,180.0,top
Q67,2N7002,SOT-23,105.9,-141.9,180.0,top
Q68,2N7002,SOT-23,110.3,-137.5,180.0,top
Q69,2N7002,SOT-23,110.3,-141.9,180.0,top
Q7,2N7002,SOT-23,51.9,-137.5,180.0,top
Q70,2N7002,SOT-23,105.9,-146.3,180.0,top
Q71,2N7002,SOT-23,110.3,-146.3,180.0,top
Q72,2N7002,SOT-23,114.9,-156.1,180.0,top
Q73,2N7002,SOT-23,114.9,-151.7,180.0,top
