Comment,Designator,Footprint,LCSC,Quantity
10kΩ,"R1,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R4,R5,R6,R7,R8,R9",R_0402,C25744,32
2.2kΩ,"R156,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48",R_0603,C23179,17
22uF,"C1,C10,C11,C12,C13,C14,C15,C16,C2,C3,C4,C5,C6,C7,C8,C9",C_0805,C45783,16
2N7002,"Q1,Q10,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q11,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q12,Q120,Q121,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q13,Q130,Q131,Q132,Q133,Q134,Q135,Q136,Q137,Q138,Q139,Q14,Q140,Q141,Q142,Q143,Q144,Q145,Q146,Q147,Q148,Q149,Q15,Q150,Q151,Q152,Q153,Q154,Q155,Q156,Q157,Q158,Q159,Q16,Q160,Q17,Q18,Q19,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q3,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q4,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q5,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q6,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q7,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q8,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q9,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99",SOT-23,C8545,160
Red,"D1,D10,D11,D12,D13,D14,D15,D16,D2,D24,D3,D4,D5,D6,D7,D8,D9",D_0603,C2286,17
Conn_01x08,J12,PinHeader_1x08_P2.54mm_Vertical,,1
Conn_01x08,J9,PinHeader_1x08_P2.54mm_Vertical,,1
Conn_01x04_Pin,J7,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x02_Pin,J13,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x08,J10,PinHeader_1x08_P2.54mm_Vertical,,1
Conn_01x21_Socket,J4,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x02_Pin,J15,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x02_Pin,J14,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x08,J11,PinHeader_1x08_P2.54mm_Vertical,,1
Conn_01x04_Pin,J8,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04_Pin,J5,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x21_Socket,J3,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x21_Socket,J2,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x21_Socket,J1,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x02_Pin,J6,PinHeader_1x02_P2.54mm_Vertical,,1
