Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805,130.65,-23.75,90.0,top
C10,22uF,C_0805,161.55,-23.8,90.0,top
C11,22uF,C_0805,164.6,-23.8,90.0,top
C12,22uF,C_0805,167.65,-23.8,90.0,top
C13,22uF,C_0805,166.7,-112.975,-90.0,top
C14,22uF,C_0805,163.65,-112.975,-90.0,top
C15,22uF,C_0805,160.75,-112.975,-90.0,top
C16,22uF,C_0805,157.7,-112.975,-90.0,top
C2,22uF,C_0805,133.7,-23.75,90.0,top
C3,22uF,C_0805,136.75,-23.75,90.0,top
C4,22uF,C_0805,139.8,-23.75,90.0,top
C5,22uF,C_0805,154.65,-112.975,-90.0,top
C6,22uF,C_0805,151.6,-112.975,-90.0,top
C7,22uF,C_0805,148.55,-112.975,-90.0,top
C8,22uF,C_0805,145.5,-112.975,-90.0,top
C9,22uF,C_0805,158.5,-23.8,90.0,top
D1,Red,D_0603,88.19,-32.0,180.0,top
D10,Red,D_0603,198.8,-61.5,0.0,top
D11,Red,D_0603,198.79,-53.5,0.0,top
D12,Red,D_0603,198.8,-49.5,0.0,top
D13,Red,D_0603,198.8,-45.5,0.0,top
D14,Red,D_0603,198.8,-41.5,0.0,top
D15,Red,D_0603,198.8,-37.5,0.0,top
D16,Red,D_0603,198.8,-33.5,0.0,top
D2,Red,D_0603,104.99,-32.0,0.0,top
D24,Red,D_0603,72.99,-32.0,0.0,top
D3,Red,D_0603,120.29,-32.0,180.0,top
D4,Red,D_0603,136.99,-32.0,0.0,top
D5,Red,D_0603,152.19,-32.0,180.0,top
D6,Red,D_0603,168.99,-32.0,0.0,top
D7,Red,D_0603,184.19,-32.0,180.0,top
D8,Red,D_0603,170.69,-113.975,0.0,top
D9,Red,D_0603,198.8,-57.5,0.0,top
J1,Conn_01x21_Socket,PinHeader_1x21_P2.54mm_Vertical,80.59,-58.5,0.0,top
J12,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,197.07,-99.59,180.0,top
J13,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,124.87,-23.8,90.0,top
J14,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,141.8,-113.07,0.0,top
J15,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,57.19,-104.195,0.0,top
J2,Conn_01x21_Socket,PinHeader_1x21_P2.54mm_Vertical,112.59,-58.5,0.0,top
J3,Conn_01x21_Socket,PinHeader_1x21_P2.54mm_Vertical,144.59,-58.5,0.0,top
J4,Conn_01x21_Socket,PinHeader_1x21_P2.54mm_Vertical,176.59,-58.5,0.0,top
J5,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,57.07,-72.69,180.0,top
J7,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,70.59,-113.83,-90.0,top
J9,Conn_02x08_Odd_Even,PinSocket_2x08_P2.54mm_Vertical,57.07,-40.69,0.0,top
Q1,2N7002,SOT-23,69.09,-81.6,180.0,top
Q10,2N7002,SOT-23,73.39,-66.4,180.0,top
Q100,2N7002,SOT-23,169.39,-70.2,180.0,top
Q101,2N7002,SOT-23,169.39,-66.4,180.0,top
Q102,2N7002,SOT-23,169.39,-62.6,180.0,top
Q103,2N7002,SOT-23,169.39,-58.8,180.0,top
Q104,2N7002,SOT-23,169.39,-55.0,180.0,top
Q105,2N7002,SOT-23,165.09,-81.6,180.0,top
Q106,2N7002,SOT-23,165.09,-77.8,180.0,top
Q107,2N7002,SOT-23,165.09,-74.0,180.0,top
Q108,2N7002,SOT-23,165.09,-70.2,180.0,top
Q109,2N7002,SOT-23,165.09,-66.4,180.0,top
Q11,2N7002,SOT-23,69.09,-62.6,180.0,top
Q110,2N7002,SOT-23,165.09,-62.6,180.0,top
Q111,2N7002,SOT-23,165.09,-58.8,180.0,top
Q112,2N7002,SOT-23,165.09,-55.0,180.0,top
Q113,2N7002,SOT-23,183.79,-81.6,0.0,top
Q114,2N7002,SOT-23,183.79,-77.8,0.0,top
Q115,2N7002,SOT-23,183.79,-74.0,0.0,top
Q116,2N7002,SOT-23,183.79,-70.2,0.0,top
Q117,2N7002,SOT-23,183.79,-66.4,0.0,top
Q118,2N7002,SOT-23,183.79,-62.6,0.0,top
Q119,2N7002,SOT-23,183.79,-58.8,0.0,top
Q12,2N7002,SOT-23,73.39,-62.6,180.0,top
Q120,2N7002,SOT-23,183.79,-55.0,0.0,top
Q121,2N7002,SOT-23,188.09,-81.6,0.0,top
Q122,2N7002,SOT-23,188.09,-77.8,0.0,top
Q123,2N7002,SOT-23,188.09,-74.0,0.0,top
Q124,2N7002,SOT-23,188.09,-70.2,0.0,top
Q125,2N7002,SOT-23,188.09,-66.4,0.0,top
Q126,2N7002,SOT-23,188.09,-62.6,0.0,top
Q127,2N7002,SOT-23,188.09,-58.8,0.0,top
Q128,2N7002,SOT-23,188.09,-55.0,0.0,top
Q129,2N7002,SOT-23,88.3,-103.7,90.0,top
Q13,2N7002,SOT-23,69.09,-58.8,180.0,top
Q130,2N7002,SOT-23,84.5,-103.7,90.0,top
Q131,2N7002,SOT-23,80.7,-103.7,90.0,top
Q132,2N7002,SOT-23,76.9,-103.7,90.0,top
Q133,2N7002,SOT-23,73.1,-103.7,90.0,top
Q134,2N7002,SOT-23,69.3,-103.7,90.0,top
Q135,2N7002,SOT-23,65.5,-103.7,90.0,top
Q136,2N7002,SOT-23,61.7,-103.7,90.0,top
Q137,2N7002,SOT-23,96.69,-105.7,90.0,top
Q138,2N7002,SOT-23,100.49,-105.7,90.0,top
Q139,2N7002,SOT-23,104.29,-105.7,90.0,top
Q14,2N7002,SOT-23,73.39,-58.8,180.0,top
Q140,2N7002,SOT-23,108.09,-105.7,90.0,top
Q141,2N7002,SOT-23,111.89,-105.7,90.0,top
Q142,2N7002,SOT-23,115.69,-105.7,90.0,top
Q143,2N7002,SOT-23,119.49,-105.7,90.0,top
Q144,2N7002,SOT-23,123.29,-105.7,90.0,top
Q145,2N7002,SOT-23,69.08,-31.0,0.0,top
Q146,2N7002,SOT-23,92.09,-31.0,180.0,top
Q147,2N7002,SOT-23,101.09,-31.0,0.0,top
