Comment,Designator,Footprint,LCSC,Quantity
10kΩ,"R1,R10,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R11,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R12,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R13,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R14,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R15,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R16,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R17,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R18,R180,R181,R182,R183,R184,R185,R186,R187,R188,R189,R19,R190,R191,R192,R193,R194,R195,R196,R197,R198,R199,R2,R200,R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R217,R218,R219,R220,R221,R222,R223,R224,R225,R226,R227,R228,R229,R23,R230,R231,R232,R233,R234,R235,R236,R237,R238,R239,R24,R240,R241,R242,R243,R244,R245,R246,R247,R248,R249,R25,R250,R251,R252,R253,R254,R255,R256,R257,R258,R259,R26,R260,R261,R262,R263,R264,R265,R266,R267,R268,R269,R27,R270,R271,R272,R273,R274,R275,R276,R277,R278,R279,R28,R280,R281,R282,R283,R284,R285,R286,R287,R288,R289,R29,R290,R291,R292,R293,R294,R295,R296,R297,R298,R299,R3,R30,R300,R301,R302,R303,R304,R305,R306,R307,R308,R309,R31,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R32,R320,R321,R322,R323,R324,R325,R326,R327,R328,R329,R33,R330,R331,R332,R333,R334,R335,R336,R337,R338,R339,R34,R340,R341,R342,R343,R344,R345,R346,R347,R348,R349,R35,R350,R351,R352,R353,R354,R355,R356,R357,R358,R359,R36,R360,R361,R362,R363,R364,R365,R366,R367,R368,R369,R37,R370,R371,R372,R373,R374,R375,R376,R377,R378,R379,R38,R39,R395,R396,R397,R398,R399,R4,R40,R400,R401,R402,R403,R404,R405,R406,R407,R408,R409,R41,R412,R413,R414,R415,R416,R417,R418,R419,R42,R420,R421,R422,R423,R424,R425,R426,R427,R428,R429,R43,R430,R431,R432,R433,R434,R435,R436,R437,R438,R439,R44,R440,R441,R442,R443,R444,R445,R446,R447,R448,R449,R45,R450,R451,R452,R453,R454,R455,R456,R457,R458,R459,R46,R460,R461,R462,R463,R464,R465,R466,R467,R468,R469,R47,R470,R471,R472,R473,R474,R475,R476,R477,R478,R479,R48,R480,R481,R482,R483,R484,R485,R486,R487,R488,R489,R49,R490,R491,R492,R493,R494,R495,R496,R497,R498,R499,R5,R50,R500,R501,R502,R503,R504,R505,R506,R507,R508,R509,R51,R510,R511,R512,R513,R514,R515,R516,R517,R518,R519,R52,R520,R521,R522,R523,R524,R525,R526,R527,R528,R529,R53,R530,R531,R532,R533,R534,R535,R536,R537,R538,R539,R54,R540,R541,R542,R543,R544,R545,R546,R547,R548,R549,R55,R550,R551,R552,R553,R554,R555,R556,R557,R558,R559,R56,R560,R561,R562,R563,R564,R565,R566,R567,R568,R569,R57,R570,R571,R572,R573,R574,R575,R576,R577,R578,R579,R58,R580,R581,R582,R583,R584,R585,R586,R587,R588,R589,R59,R590,R591,R592,R593,R594,R595,R596,R597,R598,R599,R6,R60,R600,R601,R602,R603,R604,R605,R606,R607,R608,R609,R61,R610,R611,R612,R613,R614,R615,R616,R617,R618,R619,R62,R620,R621,R622,R623,R624,R625,R626,R627,R628,R629,R63,R630,R631,R632,R633,R634,R635,R636,R637,R638,R639,R64,R640,R641,R642,R643,R644,R645,R646,R647,R648,R649,R65,R650,R651,R652,R653,R654,R655,R656,R657,R658,R659,R66,R660,R661,R662,R663,R664,R665,R666,R667,R668,R669,R67,R670,R671,R672,R673,R674,R675,R676,R677,R678,R679,R68,R680,R681,R682,R683,R684,R685,R686,R687,R688,R689,R69,R690,R691,R692,R693,R694,R695,R696,R697,R698,R699,R7,R70,R700,R701,R702,R703,R704,R705,R706,R707,R708,R709,R71,R710,R711,R712,R713,R714,R715,R716,R717,R718,R719,R72,R720,R721,R722,R723,R724,R725,R726,R727,R728,R729,R73,R730,R731,R732,R733,R734,R735,R736,R737,R738,R739,R740,R741,R742,R743,R744,R745,R746,R747,R748,R749,R750,R751,R752,R753,R754,R755,R756,R757,R758,R759,R8,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R9,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99",R_0402,C25744,733
22uF,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C5,C6,C7,C8,C9",C_0805,C45783,40
2N7002,"Q1,Q10,Q100,Q1000,Q1001,Q1002,Q1003,Q1004,Q1005,Q1006,Q1007,Q1008,Q1009,Q101,Q1010,Q1011,Q1012,Q1013,Q1014,Q1015,Q1016,Q1017,Q1018,Q1019,Q102,Q1020,Q1021,Q1022,Q1023,Q1024,Q1025,Q1026,Q1027,Q1028,Q1029,Q103,Q1030,Q1031,Q1032,Q1033,Q1034,Q1035,Q1036,Q1037,Q1038,Q1039,Q104,Q1040,Q1041,Q1042,Q1043,Q1044,Q1045,Q1046,Q1047,Q1048,Q1049,Q105,Q1050,Q1051,Q1052,Q1053,Q1054,Q1055,Q1056,Q1057,Q1058,Q1059,Q106,Q1060,Q1061,Q1062,Q1063,Q1064,Q1065,Q1066,Q1067,Q1068,Q1069,Q107,Q1070,Q1071,Q1072,Q1073,Q1074,Q1075,Q1076,Q1077,Q1078,Q1079,Q108,Q1080,Q1081,Q1082,Q1083,Q1084,Q1085,Q1086,Q1087,Q1088,Q1089,Q109,Q1090,Q1091,Q1092,Q1093,Q1094,Q1095,Q1096,Q1097,Q1098,Q1099,Q11,Q110,Q1100,Q1101,Q1102,Q1103,Q1104,Q1105,Q1106,Q1107,Q1108,Q1109,Q111,Q1110,Q1111,Q1112,Q1113,Q1114,Q1115,Q1116,Q1117,Q1118,Q1119,Q112,Q1120,Q1121,Q1122,Q1123,Q1124,Q1125,Q1126,Q1127,Q1128,Q1129,Q113,Q1130,Q1131,Q1132,Q1133,Q1134,Q1135,Q1136,Q1137,Q1138,Q1139,Q114,Q1140,Q1141,Q1142,Q1143,Q1144,Q1145,Q1146,Q1147,Q1148,Q1149,Q115,Q1150,Q1151,Q1152,Q1153,Q1154,Q1155,Q1156,Q1157,Q1158,Q1159,Q116,Q1160,Q1161,Q1162,Q1163,Q1164,Q1165,Q1166,Q1167,Q1168,Q1169,Q117,Q1170,Q1171,Q1172,Q1173,Q1174,Q1175,Q1176,Q1177,Q1178,Q1179,Q118,Q1180,Q1181,Q1182,Q1183,Q1184,Q1185,Q1186,Q1187,Q1188,Q1189,Q119,Q1190,Q1191,Q1192,Q1193,Q1194,Q1195,Q1196,Q1197,Q1198,Q1199,Q12,Q120,Q1200,Q1201,Q1202,Q1203,Q1204,Q1205,Q1206,Q1207,Q1208,Q1209,Q121,Q1210,Q1211,Q1212,Q1213,Q1214,Q1215,Q1216,Q1217,Q1218,Q1219,Q122,Q1220,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q13,Q130,Q131,Q132,Q133,Q134,Q136,Q137,Q138,Q139,Q14,Q140,Q141,Q142,Q143,Q144,Q1449,Q145,Q1450,Q1451,Q1452,Q1453,Q146,Q147,Q148,Q149,Q15,Q150,Q151,Q152,Q153,Q154,Q155,Q156,Q157,Q158,Q159,Q16,Q160,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q17,Q170,Q171,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q18,Q180,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q19,Q190,Q191,Q192,Q193,Q194,Q195,Q196,Q197,Q198,Q199,Q2,Q20,Q200,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208,Q209,Q21,Q210,Q211,Q212,Q213,Q214,Q215,Q216,Q217,Q218,Q219,Q22,Q220,Q221,Q222,Q223,Q224,Q225,Q226,Q227,Q228,Q229,Q23,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q237,Q238,Q239,Q24,Q240,Q241,Q242,Q243,Q244,Q245,Q246,Q247,Q248,Q249,Q25,Q250,Q251,Q252,Q253,Q254,Q255,Q256,Q257,Q258,Q259,Q26,Q260,Q261,Q262,Q263,Q264,Q265,Q266,Q267,Q268,Q269,Q27,Q270,Q271,Q272,Q273,Q274,Q275,Q276,Q277,Q278,Q279,Q28,Q280,Q281,Q282,Q283,Q284,Q285,Q286,Q287,Q288,Q289,Q29,Q290,Q291,Q292,Q293,Q294,Q295,Q296,Q297,Q298,Q299,Q3,Q30,Q300,Q301,Q302,Q303,Q304,Q305,Q306,Q307,Q308,Q309,Q31,Q310,Q311,Q312,Q313,Q314,Q315,Q316,Q317,Q318,Q319,Q32,Q320,Q321,Q322,Q323,Q324,Q325,Q326,Q327,Q328,Q329,Q33,Q330,Q331,Q332,Q333,Q334,Q335,Q336,Q337,Q338,Q339,Q34,Q340,Q341,Q342,Q343,Q344,Q345,Q346,Q347,Q348,Q349,Q35,Q350,Q351,Q352,Q353,Q354,Q355,Q356,Q357,Q358,Q359,Q360,Q361,Q362,Q363,Q364,Q365,Q366,Q367,Q368,Q369,Q370,Q371,Q372,Q373,Q374,Q375,Q376,Q377,Q378,Q379,Q380,Q381,Q382,Q383,Q384,Q385,Q386,Q387,Q388,Q389,Q390,Q391,Q392,Q393,Q394,Q395,Q396,Q397,Q398,Q399,Q4,Q40,Q400,Q401,Q402,Q403,Q404,Q405,Q406,Q407,Q408,Q409,Q41,Q410,Q411,Q412,Q413,Q414,Q415,Q416,Q417,Q418,Q419,Q42,Q420,Q421,Q422,Q423,Q424,Q425,Q426,Q427,Q428,Q429,Q43,Q430,Q431,Q432,Q433,Q434,Q435,Q436,Q437,Q438,Q439,Q44,Q440,Q441,Q442,Q443,Q444,Q445,Q446,Q447,Q448,Q449,Q45,Q450,Q451,Q452,Q453,Q454,Q455,Q456,Q457,Q458,Q459,Q46,Q460,Q461,Q462,Q463,Q464,Q465,Q466,Q467,Q468,Q469,Q47,Q470,Q471,Q472,Q473,Q474,Q475,Q476,Q477,Q478,Q479,Q48,Q480,Q481,Q482,Q483,Q484,Q485,Q486,Q487,Q488,Q489,Q49,Q490,Q491,Q492,Q493,Q494,Q495,Q496,Q497,Q498,Q499,Q5,Q50,Q500,Q501,Q502,Q503,Q504,Q505,Q506,Q507,Q508,Q509,Q51,Q510,Q511,Q512,Q513,Q514,Q515,Q516,Q517,Q518,Q519,Q52,Q520,Q521,Q522,Q523,Q524,Q525,Q526,Q527,Q528,Q529,Q53,Q530,Q531,Q532,Q533,Q534,Q535,Q536,Q537,Q538,Q539,Q54,Q540,Q541,Q542,Q543,Q544,Q545,Q546,Q547,Q548,Q549,Q55,Q550,Q551,Q552,Q553,Q554,Q555,Q556,Q557,Q558,Q559,Q56,Q560,Q561,Q562,Q563,Q564,Q565,Q566,Q567,Q568,Q569,Q57,Q570,Q571,Q572,Q573,Q574,Q575,Q576,Q577,Q578,Q579,Q58,Q580,Q581,Q582,Q583,Q584,Q585,Q586,Q587,Q588,Q589,Q59,Q590,Q591,Q592,Q593,Q594,Q595,Q596,Q597,Q598,Q599,Q6,Q60,Q600,Q601,Q602,Q603,Q604,Q605,Q606,Q607,Q608,Q609,Q61,Q610,Q611,Q612,Q613,Q614,Q615,Q616,Q617,Q618,Q619,Q62,Q620,Q621,Q622,Q623,Q624,Q625,Q626,Q627,Q628,Q629,Q63,Q630,Q631,Q632,Q636,Q637,Q638,Q639,Q64,Q640,Q641,Q642,Q643,Q644,Q645,Q646,Q647,Q648,Q649,Q65,Q650,Q651,Q652,Q653,Q654,Q655,Q656,Q657,Q658,Q659,Q66,Q660,Q661,Q662,Q663,Q664,Q665,Q666,Q667,Q668,Q669,Q67,Q670,Q671,Q672,Q673,Q674,Q675,Q676,Q677,Q678,Q679,Q68,Q680,Q681,Q682,Q683,Q684,Q685,Q686,Q687,Q688,Q689,Q69,Q690,Q691,Q692,Q693,Q694,Q695,Q696,Q697,Q698,Q699,Q7,Q70,Q700,Q701,Q702,Q703,Q704,Q705,Q706,Q707,Q708,Q709,Q71,Q710,Q711,Q712,Q713,Q714,Q715,Q716,Q717,Q718,Q719,Q72,Q720,Q721,Q722,Q723,Q724,Q725,Q726,Q727,Q728,Q729,Q73,Q730,Q731,Q732,Q733,Q734,Q735,Q736,Q737,Q738,Q739,Q74,Q740,Q741,Q742,Q743,Q744,Q745,Q746,Q747,Q748,Q749,Q75,Q750,Q751,Q752,Q753,Q754,Q755,Q756,Q757,Q758,Q759,Q76,Q760,Q761,Q762,Q763,Q764,Q765,Q766,Q767,Q768,Q769,Q77,Q770,Q771,Q772,Q773,Q774,Q775,Q776,Q777,Q778,Q779,Q78,Q780,Q781,Q782,Q783,Q784,Q785,Q786,Q787,Q788,Q789,Q79,Q790,Q791,Q792,Q8,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q9,Q90,Q901,Q902,Q903,Q904,Q905,Q906,Q907,Q908,Q909,Q91,Q910,Q911,Q912,Q913,Q914,Q915,Q916,Q917,Q918,Q919,Q92,Q920,Q921,Q922,Q923,Q924,Q925,Q926,Q927,Q928,Q929,Q93,Q930,Q931,Q932,Q933,Q934,Q935,Q936,Q937,Q938,Q939,Q94,Q940,Q941,Q942,Q943,Q944,Q945,Q946,Q947,Q948,Q949,Q95,Q950,Q951,Q952,Q953,Q954,Q955,Q956,Q957,Q958,Q959,Q96,Q960,Q961,Q962,Q963,Q964,Q965,Q966,Q967,Q968,Q969,Q97,Q970,Q971,Q972,Q973,Q974,Q975,Q976,Q977,Q978,Q979,Q98,Q980,Q981,Q982,Q983,Q984,Q985,Q986,Q987,Q988,Q989,Q99,Q990,Q991,Q992,Q993,Q994,Q995,Q996,Q997,Q998,Q999",SOT-23,C8545,1109
Red,"D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D15,D16,D166,D167,D168,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99",D_0603,C2286,126
Conn_02x08_Odd_Even,J13,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J14,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x21_Socket,J6,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x01_Pin,J9,PinSocket_1x01_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J12,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x01_Pin,J7,PinSocket_1x01_P2.54mm_Vertical,,1
