Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_Disc_D4.7mm_W2.5mm_P5.00mm,54.9,-87.9,-90.0,top
C10,22uF,C_0805,164.45,-134.1,90.0,top
C11,22uF,C_0805,99.2,-159.35,90.0,top
C12,22uF,C_0805,102.25,-159.35,90.0,top
C13,22uF,C_0805,105.3,-159.35,90.0,top
C14,22uF,C_0805,108.35,-159.35,90.0,top
C15,22uF,C_0805,37.6,-60.7,0.0,top
C16,22uF,C_0805,37.6,-63.75,0.0,top
C17,22uF,C_0805,37.6,-66.8,0.0,top
C18,22uF,C_0805,37.6,-69.85,0.0,top
C19,C,C_Radial_D16.0mm_H25.0mm_P7.50mm,220.0,-86.0,0.0,top
C2,C,C_Disc_D4.7mm_W2.5mm_P5.00mm,47.0,-87.9,90.0,top
C20,C,C_Radial_D16.0mm_H25.0mm_P7.50mm,220.0,-102.5,0.0,top
C21,22uF,C_0805,349.05,-115.6625,-90.0,top
C22,22uF,C_0805,345.95,-115.6625,-90.0,top
C23,22uF,C_0805,342.95,-115.6625,-90.0,top
C24,22uF,C_0805,339.85,-115.6625,-90.0,top
C25,22uF,C_0805,334.15,-26.3625,90.0,top
C26,22uF,C_0805,331.05,-26.3625,90.0,top
C27,22uF,C_0805,328.05,-26.3625,90.0,top
C28,22uF,C_0805,324.95,-26.3625,90.0,top
C29,22uF,C_0805,352.85,-26.4625,90.0,top
C3,22uF,C_0805,193.9,-109.1,90.0,top
C30,22uF,C_0805,355.85,-26.4625,90.0,top
C31,22uF,C_0805,358.95,-26.4625,90.0,top
C32,22uF,C_0805,361.95,-26.4625,90.0,top
C33,22uF,C_0805,361.05,-115.6625,-90.0,top
C34,22uF,C_0805,358.05,-115.6625,-90.0,top
C35,22uF,C_0805,355.2,-115.6625,-90.0,top
C36,22uF,C_0805,352.15,-115.6625,-90.0,top
C37,22uF,C_0805,261.9,-216.2,-90.0,top
C38,22uF,C_0805,259.6,-216.2,-90.0,top
C39,22uF,C_0805,257.3,-216.2,-90.0,top
C4,22uF,C_0805,196.95,-109.1,90.0,top
C40,22uF,C_0805,255.0,-216.2,-90.0,top
C41,22uF,C_0805,376.4,-197.2,0.0,top
C42,22uF,C_0805,376.4,-199.6,0.0,top
C43,22uF,C_0805,376.4,-202.0,0.0,top
C44,22uF,C_0805,376.4,-204.4,0.0,top
C5,22uF,C_0805,200.0,-109.1,90.0,top
C6,22uF,C_0805,203.05,-109.1,90.0,top
C7,22uF,C_0805,155.3,-134.1,90.0,top
C8,22uF,C_0805,158.35,-134.1,90.0,top
C9,22uF,C_0805,161.4,-134.1,90.0,top
D1,Red,D_0603,67.1,-172.3,90.0,top
D10,Red,D_0603,112.1,-172.3,90.0,top
D100,Red,D_0603,269.7,-207.6,0.0,top
D101,Red,D_0603,251.2,-215.2,0.0,top
D102,Red,D_0603,255.1,-137.4,0.0,top
D103,Red,D_0603,255.1,-141.1,0.0,top
D104,Red,D_0603,255.1,-144.8,0.0,top
D105,Red,D_0603,255.1,-148.5,0.0,top
D106,Red,D_0603,255.1,-152.2,0.0,top
D107,Red,D_0603,255.1,-155.9,0.0,top
D108,Red,D_0603,255.1,-159.6,0.0,top
